"warehouse_code","rack_no","depth","pallet_positions","filled_pallet_positions"
"TGIC",1,1,288,268
"TGIC",2,1,342,348
"TGIC",3,1,342,355
"TGIC",4,1,252,267
"TGIC",5,1,342,396
"TGIC",6,1,342,353
"TGIC",7,1,342,361
"TGIC",8,1,246,248
"TGIC",9,1,246,249
"TGIC",10,1,342,356
"TGIC",11,1,342,375
"TGIC",12,2,516,425
"TGIC",13,1,342,349
"TGIC",14,1,342,295
"TGIC",15,1,342,331
"TGIC",16,2,492,405
"TGIC",17,1,456,638
"TGIC",18,1,342,383
"TGIC",19,1,342,394
"TGIC",20,2,516,520
"TGIC",21,2,696,649
"TGIC",22,2,684,533
"TGIC",23,2,516,467
"TGIC",24,1,336,283
"TGIC",25,1,342,318
"TGIC",26,2,516,409
"TGIC",27,2,684,570
"TGIC",28,2,684,637
"TGIC",29,2,516,433
"TGIC",30,2,684,633
"TGIC",31,1,456,485
"TGIC",32,2,516,260
"TGIC",33,2,684,492
"TGIC",34,2,684,581
"TGIC",35,2,516,420
"TGIC",36,1,348,368
"TGIC",37,1,360,0
"TGIC",38,1,264,0
"TGIC",38,1,198,0
"TGIC",39,1,232,0
"TGIC",40,1,316,0
"TGIC",41,1,316,0
"TGIC",42,1,253,0
"TGIC",43,1,253,0
"TGIC",44,1,316,0
"TGIC",45,1,316,277
"TGIC",46,1,294,67
